time,temperature_2m,relativehumidity_2m,surface_pressure,precipitation,cloudcover,direct_radiation,diffuse_radiation,windspeed_10m
00,-4.3,93,999.4,0.0,100,0.0,0.0,11.3
01,-4.0,93,998.6,0.0,100,0.0,0.0,11.0
02,-3.7,94,997.6,0.0,100,0.0,0.0,11.7
03,-3.3,94,997.0,0.0,100,0.0,0.0,16.8
04,-2.8,94,996.0,0.0,100,0.0,0.0,17.8
05,-2.4,95,994.9,0.0,100,0.0,0.0,16.8
06,-1.9,96,994.1,0.1,100,0.0,0.0,16.4
07,-1.3,97,992.9,0.2,100,0.0,0.0,18.2
08,-0.7,97,992.0,0.4,100,0.0,0.0,18.6
09,-0.2,99,991.4,0.9,100,0.0,1.0,17.9
10,0.3,97,990.6,1.2,100,0.0,12.0,16.4
11,0.6,98,990.1,1.1,100,0.0,18.0,18.4
12,0.8,98,989.6,0.8,100,0.0,46.0,17.1
13,1.0,98,989.2,0.4,100,0.0,65.0,17.2
14,1.4,97,989.0,0.0,95,5.0,101.0,19.1
15,1.6,97,989.4,0.0,89,1.0,88.0,17.8
16,1.6,96,989.6,0.0,90,2.0,44.0,15.5
17,1.5,97,990.4,0.0,90,0.0,5.0,12.7
18,1.4,97,990.8,0.0,90,0.0,0.0,15.9
19,1.4,97,991.0,0.0,91,0.0,0.0,17.9
20,1.3,98,991.1,0.0,96,0.0,0.0,17.7
21,1.2,98,991.3,0.1,95,0.0,0.0,19.0
22,1.2,99,991.3,0.1,100,0.0,0.0,19.3
23,1.1,99,991.4,0.1,100,0.0,0.0,19.8
00,0.9,100,991.6,0.2,100,0.0,0.0,19.0
01,0.8,100,991.5,0.3,100,0.0,0.0,20.3
02,0.7,99,991.5,0.3,100,0.0,0.0,20.9
03,0.7,99,992.1,0.3,100,0.0,0.0,14.0
04,0.9,97,992.5,0.3,100,0.0,0.0,17.8
05,0.9,94,993.0,0.1,100,0.0,0.0,22.3
06,0.8,91,994.2,0.0,100,0.0,0.0,24.9
07,0.2,89,995.3,0.0,100,0.0,0.0,25.8
08,-0.7,87,996.8,0.0,100,0.0,0.0,25.5
09,-1.8,85,999.0,0.0,100,0.0,2.0,26.3
10,-2.4,84,1000.6,0.0,88,1.0,37.0,25.5
11,-3.0,83,1001.6,0.0,89,4.0,78.0,23.7
12,-3.4,78,1002.0,0.0,87,21.0,113.0,21.3
13,-3.6,78,1002.3,0.0,82,13.0,120.0,15.5
14,-3.9,79,1002.6,0.0,89,13.0,107.0,18.0
15,-4.4,79,1003.7,0.0,88,18.0,94.0,18.3
16,-4.9,80,1004.3,0.0,69,5.0,57.0,16.0
17,-5.9,82,1004.3,0.0,43,1.0,11.0,12.7
18,-6.5,83,1005.2,0.0,75,0.0,0.0,12.7
19,-6.7,83,1004.8,0.0,100,0.0,0.0,9.4
